123456, 0,
123465, 0, 56
123546, 0, 45
123564, 0, 45 56
123645, 0, 46 56
123654, 0, 46
124356, 0, 34
124365, 0, 34 56
124536, 0, 34 45
124563, 0, 34 45 56
124635, 0, 34 46 56
124653, 0, 34 46
125346, 0, 35 45
125364, 0, 35 45 56
125436, 0, 35
125463, 0, 35 56
125634, 0, 35 46
125643, 0, 35 46 56
126345, 0, 36 46 56
126354, 0, 36 46
126435, 0, 36 56
126453, 0, 36
126534, 0, 36 45 56
126543, 0, 36 45
132456, 0, 23
132465, 0, 23 56
132546, 0, 23 45
132564, 0, 23 45 56
132645, 0, 23 46 56
132654, 0, 23 46
134256, 0, 23 34
134265, 0, 23 34 56
134526, 0, 23 34 45
134562, 0, 23 34 45 56
134625, 0, 23 34 46 56
134652, 0, 23 34 46
135246, 0, 23 35 45
135264, 0, 23 35 45 56
135426, 0, 23 35
135462, 0, 23 35 56
135624, 0, 23 35 46
135642, 0, 23 35 46 56
136245, 0, 23 36 46 56
136254, 0, 23 36 46
136425, 0, 23 36 56
136452, 0, 23 36
136524, 0, 23 36 45 56
136542, 0, 23 36 45
142356, 0, 24 34
142365, 0, 24 34 56
142536, 0, 24 34 45
142563, 0, 24 34 45 56
142635, 0, 24 34 46 56
142653, 0, 24 34 46
143256, 0, 24
143265, 0, 24 56
143526, 0, 24 45
143562, 0, 24 45 56
143625, 0, 24 46 56
143652, 0, 24 46
145236, 0, 24 35
145263, 0, 24 35 56
145326, 0, 24 35 45
145362, 0, 24 35 45 56
145623, 0, 24 35 46 56
145632, 0, 24 35 46
146235, 0, 24 36 56
146253, 0, 24 36
146325, 0, 24 36 46 56
146352, 0, 24 36 46
146523, 0, 24 36 45
146532, 0, 24 36 45 56
152346, 0, 25 35 45
152364, 0, 25 35 45 56
152436, 0, 25 35
152463, 0, 25 35 56
152634, 0, 25 35 46
152643, 0, 25 35 46 56
153246, 0, 25 45
153264, 0, 25 45 56
153426, 0, 25
153462, 0, 25 56
153624, 0, 25 46
153642, 0, 25 46 56
154236, 0, 25 34 45
154263, 0, 25 34 45 56
154326, 0, 25 34
154362, 0, 25 34 56
154623, 0, 25 34 46
154632, 0, 25 34 46 56
156234, 0, 25 36 45 56
156243, 0, 25 36 45
156324, 0, 25 36 46
156342, 0, 25 36 46 56
156423, 0, 25 36
156432, 0, 25 36 56
162345, 0, 26 36 46 56
162354, 0, 26 36 46
162435, 0, 26 36 56
162453, 0, 26 36
162534, 0, 26 36 45 56
162543, 0, 26 36 45
163245, 0, 26 46 56
163254, 0, 26 46
163425, 0, 26 56
163452, 0, 26
163524, 0, 26 45 56
163542, 0, 26 45
164235, 0, 26 34 46 56
164253, 0, 26 34 46
164325, 0, 26 34 56
164352, 0, 26 34
164523, 0, 26 34 45 56
164532, 0, 26 34 45
165234, 0, 26 35 46
165243, 0, 26 35 46 56
165324, 0, 26 35 45 56
165342, 0, 26 35 45
165423, 0, 26 35 56
165432, 0, 26 35
213456, 0, 12
213465, 0, 12 56
213546, 0, 12 45
213564, 0, 12 45 56
213645, 0, 12 46 56
213654, 0, 12 46
214356, 0, 12 34
214365, 1, 12 34 56
214536, 0, 12 34 45
214563, 1, 12 34 45 56
214635, 1, 12 34 46 56
214653, 0, 12 34 46
215346, 0, 12 35 45
215364, 1, 12 35 45 56
215436, 0, 12 35
215463, 0, 12 35 56
215634, 1, 12 35 46
215643, 1, 12 35 46 56
216345, 1, 12 36 46 56
216354, 0, 12 36 46
216435, 0, 12 36 56
216453, 0, 12 36
216534, 1, 12 36 45 56
216543, 1, 12 36 45
231456, 0, 12 23
231465, 0, 12 23 56
231546, 0, 12 23 45
231564, 1, 12 23 45 56
231645, 1, 12 23 46 56
231654, 0, 12 23 46
234156, 0, 12 23 34
234165, 1, 12 23 34 56
234516, 0, 12 23 34 45
234561, 1, 12 23 34 45 56
234615, 1, 12 23 34 46 56
234651, 0, 12 23 34 46
235146, 0, 12 23 35 45
235164, 1, 12 23 35 45 56
235416, 0, 12 23 35
235461, 0, 12 23 35 56
235614, 1, 12 23 35 46
235641, 1, 12 23 35 46 56
236145, 1, 12 23 36 46 56
236154, 0, 12 23 36 46
236415, 0, 12 23 36 56
236451, 0, 12 23 36
236514, 1, 12 23 36 45 56
236541, 1, 12 23 36 45
241356, 0, 12 24 34
241365, 1, 12 24 34 56
241536, 0, 12 24 34 45
241563, 1, 12 24 34 45 56
241635, 1, 12 24 34 46 56
241653, 0, 12 24 34 46
243156, 0, 12 24
243165, 0, 12 24 56
243516, 0, 12 24 45
243561, 0, 12 24 45 56
243615, 0, 12 24 46 56
243651, 0, 12 24 46
245136, 0, 12 24 35
245163, 1, 12 24 35 56
245316, 0, 12 24 35 45
245361, 1, 12 24 35 45 56
245613, 1, 12 24 35 46 56
245631, 1, 12 24 35 46
246135, 1, 12 24 36 56
246153, 0, 12 24 36
246315, 1, 12 24 36 46 56
246351, 0, 12 24 36 46
246513, 1, 12 24 36 45
246531, 1, 12 24 36 45 56
251346, 0, 12 25 35 45
251364, 1, 12 25 35 45 56
251436, 0, 12 25 35
251463, 0, 12 25 35 56
251634, 1, 12 25 35 46
251643, 1, 12 25 35 46 56
253146, 0, 12 25 45
253164, 0, 12 25 45 56
253416, 0, 12 25
253461, 0, 12 25 56
253614, 0, 12 25 46
253641, 0, 12 25 46 56
254136, 0, 12 25 34 45
254163, 1, 12 25 34 45 56
254316, 0, 12 25 34
254361, 1, 12 25 34 56
254613, 1, 12 25 34 46
254631, 1, 12 25 34 46 56
256134, 1, 12 25 36 45 56
256143, 1, 12 25 36 45
256314, 1, 12 25 36 46
256341, 1, 12 25 36 46 56
256413, 0, 12 25 36
256431, 0, 12 25 36 56
261345, 1, 12 26 36 46 56
261354, 0, 12 26 36 46
261435, 0, 12 26 36 56
261453, 0, 12 26 36
261534, 1, 12 26 36 45 56
261543, 1, 12 26 36 45
263145, 0, 12 26 46 56
263154, 0, 12 26 46
263415, 0, 12 26 56
263451, 0, 12 26
263514, 0, 12 26 45 56
263541, 0, 12 26 45
264135, 1, 12 26 34 46 56
264153, 0, 12 26 34 46
264315, 1, 12 26 34 56
264351, 0, 12 26 34
264513, 1, 12 26 34 45 56
264531, 1, 12 26 34 45
265134, 1, 12 26 35 46
265143, 1, 12 26 35 46 56
265314, 1, 12 26 35 45 56
265341, 1, 12 26 35 45
265413, 0, 12 26 35 56
265431, 0, 12 26 35
312456, 0, 13 23
312465, 0, 13 23 56
312546, 0, 13 23 45
312564, 1, 13 23 45 56
312645, 1, 13 23 46 56
312654, 0, 13 23 46
314256, 0, 13 23 34
314265, 1, 13 23 34 56
314526, 0, 13 23 34 45
314562, 1, 13 23 34 45 56
314625, 1, 13 23 34 46 56
314652, 0, 13 23 34 46
315246, 0, 13 23 35 45
315264, 1, 13 23 35 45 56
315426, 0, 13 23 35
315462, 0, 13 23 35 56
315624, 1, 13 23 35 46
315642, 1, 13 23 35 46 56
316245, 1, 13 23 36 46 56
316254, 0, 13 23 36 46
316425, 0, 13 23 36 56
316452, 0, 13 23 36
316524, 1, 13 23 36 45 56
316542, 1, 13 23 36 45
321456, 0, 13
321465, 0, 13 56
321546, 0, 13 45
321564, 0, 13 45 56
321645, 0, 13 46 56
321654, 0, 13 46
324156, 0, 13 34
324165, 0, 13 34 56
324516, 0, 13 34 45
324561, 0, 13 34 45 56
324615, 0, 13 34 46 56
324651, 0, 13 34 46
325146, 0, 13 35 45
325164, 0, 13 35 45 56
325416, 0, 13 35
325461, 0, 13 35 56
325614, 0, 13 35 46
325641, 0, 13 35 46 56
326145, 0, 13 36 46 56
326154, 0, 13 36 46
326415, 0, 13 36 56
326451, 0, 13 36
326514, 0, 13 36 45 56
326541, 0, 13 36 45
341256, 0, 13 24
341265, 1, 13 24 56
341526, 0, 13 24 45
341562, 1, 13 24 45 56
341625, 1, 13 24 46 56
341652, 0, 13 24 46
342156, 0, 13 24 34
342165, 1, 13 24 34 56
342516, 0, 13 24 34 45
342561, 1, 13 24 34 45 56
342615, 1, 13 24 34 46 56
342651, 0, 13 24 34 46
345126, 0, 13 24 35 45
345162, 1, 13 24 35 45 56
345216, 0, 13 24 35
345261, 1, 13 24 35 56
345612, 1, 13 24 35 46
345621, 1, 13 24 35 46 56
346125, 1, 13 24 36 46 56
346152, 0, 13 24 36 46
346215, 1, 13 24 36 56
346251, 0, 13 24 36
346512, 1, 13 24 36 45 56
346521, 1, 13 24 36 45
351246, 0, 13 25 45
351264, 1, 13 25 45 56
351426, 0, 13 25
351462, 0, 13 25 56
351624, 1, 13 25 46
351642, 1, 13 25 46 56
352146, 0, 13 25 35 45
352164, 1, 13 25 35 45 56
352416, 0, 13 25 35
352461, 0, 13 25 35 56
352614, 1, 13 25 35 46
352641, 1, 13 25 35 46 56
354126, 0, 13 25 34
354162, 1, 13 25 34 56
354216, 0, 13 25 34 45
354261, 1, 13 25 34 45 56
354612, 1, 13 25 34 46 56
354621, 1, 13 25 34 46
356124, 1, 13 25 36 46
356142, 1, 13 25 36 46 56
356214, 1, 13 25 36 45 56
356241, 1, 13 25 36 45
356412, 0, 13 25 36 56
356421, 0, 13 25 36
361245, 1, 13 26 46 56
361254, 0, 13 26 46
361425, 0, 13 26 56
361452, 0, 13 26
361524, 1, 13 26 45 56
361542, 1, 13 26 45
362145, 1, 13 26 36 46 56
362154, 0, 13 26 36 46
362415, 0, 13 26 36 56
362451, 0, 13 26 36
362514, 1, 13 26 36 45 56
362541, 1, 13 26 36 45
364125, 1, 13 26 34 56
364152, 0, 13 26 34
364215, 1, 13 26 34 46 56
364251, 0, 13 26 34 46
364512, 1, 13 26 34 45
364521, 1, 13 26 34 45 56
365124, 1, 13 26 35 45 56
365142, 1, 13 26 35 45
365214, 1, 13 26 35 46
365241, 1, 13 26 35 46 56
365412, 0, 13 26 35
365421, 0, 13 26 35 56
412356, 0, 14 24 34
412365, 1, 14 24 34 56
412536, 0, 14 24 34 45
412563, 1, 14 24 34 45 56
412635, 1, 14 24 34 46 56
412653, 0, 14 24 34 46
413256, 0, 14 24
413265, 0, 14 24 56
413526, 0, 14 24 45
413562, 0, 14 24 45 56
413625, 0, 14 24 46 56
413652, 0, 14 24 46
415236, 0, 14 24 35
415263, 1, 14 24 35 56
415326, 0, 14 24 35 45
415362, 1, 14 24 35 45 56
415623, 1, 14 24 35 46 56
415632, 1, 14 24 35 46
416235, 1, 14 24 36 56
416253, 0, 14 24 36
416325, 1, 14 24 36 46 56
416352, 0, 14 24 36 46
416523, 1, 14 24 36 45
416532, 1, 14 24 36 45 56
421356, 0, 14 34
421365, 0, 14 34 56
421536, 0, 14 34 45
421563, 0, 14 34 45 56
421635, 0, 14 34 46 56
421653, 0, 14 34 46
423156, 0, 14
423165, 0, 14 56
423516, 0, 14 45
423561, 0, 14 45 56
423615, 0, 14 46 56
423651, 0, 14 46
425136, 0, 14 35
425163, 0, 14 35 56
425316, 0, 14 35 45
425361, 0, 14 35 45 56
425613, 0, 14 35 46 56
425631, 0, 14 35 46
426135, 0, 14 36 56
426153, 0, 14 36
426315, 0, 14 36 46 56
426351, 0, 14 36 46
426513, 0, 14 36 45
426531, 0, 14 36 45 56
431256, 0, 14 23 34
431265, 1, 14 23 34 56
431526, 0, 14 23 34 45
431562, 1, 14 23 34 45 56
431625, 1, 14 23 34 46 56
431652, 0, 14 23 34 46
432156, 0, 14 23
432165, 1, 14 23 56
432516, 0, 14 23 45
432561, 1, 14 23 45 56
432615, 1, 14 23 46 56
432651, 0, 14 23 46
435126, 0, 14 23 35
435162, 1, 14 23 35 56
435216, 0, 14 23 35 45
435261, 1, 14 23 35 45 56
435612, 1, 14 23 35 46 56
435621, 1, 14 23 35 46
436125, 1, 14 23 36 56
436152, 0, 14 23 36
436215, 1, 14 23 36 46 56
436251, 0, 14 23 36 46
436512, 1, 14 23 36 45
436521, 1, 14 23 36 45 56
451236, 0, 14 25 34 45
451263, 1, 14 25 34 45 56
451326, 0, 14 25 34
451362, 1, 14 25 34 56
451623, 1, 14 25 34 46
451632, 1, 14 25 34 46 56
452136, 0, 14 25 35
452163, 1, 14 25 35 56
452316, 0, 14 25 35 45
452361, 1, 14 25 35 45 56
452613, 1, 14 25 35 46 56
452631, 1, 14 25 35 46
453126, 0, 14 25
453162, 0, 14 25 56
453216, 0, 14 25 45
453261, 0, 14 25 45 56
453612, 0, 14 25 46 56
453621, 0, 14 25 46
456123, 1, 14 25 36
456132, 1, 14 25 36 56
456213, 1, 14 25 36 45
456231, 1, 14 25 36 45 56
456312, 1, 14 25 36 46 56
456321, 1, 14 25 36 46
461235, 1, 14 26 34 46 56
461253, 0, 14 26 34 46
461325, 1, 14 26 34 56
461352, 0, 14 26 34
461523, 1, 14 26 34 45 56
461532, 1, 14 26 34 45
462135, 1, 14 26 36 56
462153, 0, 14 26 36
462315, 1, 14 26 36 46 56
462351, 0, 14 26 36 46
462513, 1, 14 26 36 45
462531, 1, 14 26 36 45 56
463125, 0, 14 26 56
463152, 0, 14 26
463215, 0, 14 26 46 56
463251, 0, 14 26 46
463512, 0, 14 26 45
463521, 0, 14 26 45 56
465123, 1, 14 26 35 56
465132, 1, 14 26 35
465213, 1, 14 26 35 46 56
465231, 1, 14 26 35 46
465312, 1, 14 26 35 45
465321, 1, 14 26 35 45 56
512346, 0, 15 25 35 45
512364, 1, 15 25 35 45 56
512436, 0, 15 25 35
512463, 0, 15 25 35 56
512634, 1, 15 25 35 46
512643, 1, 15 25 35 46 56
513246, 0, 15 25 45
513264, 0, 15 25 45 56
513426, 0, 15 25
513462, 0, 15 25 56
513624, 0, 15 25 46
513642, 0, 15 25 46 56
514236, 0, 15 25 34 45
514263, 1, 15 25 34 45 56
514326, 0, 15 25 34
514362, 1, 15 25 34 56
514623, 1, 15 25 34 46
514632, 1, 15 25 34 46 56
516234, 1, 15 25 36 45 56
516243, 1, 15 25 36 45
516324, 1, 15 25 36 46
516342, 1, 15 25 36 46 56
516423, 0, 15 25 36
516432, 0, 15 25 36 56
521346, 0, 15 35 45
521364, 0, 15 35 45 56
521436, 0, 15 35
521463, 0, 15 35 56
521634, 0, 15 35 46
521643, 0, 15 35 46 56
523146, 0, 15 45
523164, 0, 15 45 56
523416, 0, 15
523461, 0, 15 56
523614, 0, 15 46
523641, 0, 15 46 56
524136, 0, 15 34 45
524163, 0, 15 34 45 56
524316, 0, 15 34
524361, 0, 15 34 56
524613, 0, 15 34 46
524631, 0, 15 34 46 56
526134, 0, 15 36 45 56
526143, 0, 15 36 45
526314, 0, 15 36 46
526341, 0, 15 36 46 56
526413, 0, 15 36
526431, 0, 15 36 56
531246, 0, 15 23 35 45
531264, 1, 15 23 35 45 56
531426, 0, 15 23 35
531462, 0, 15 23 35 56
531624, 1, 15 23 35 46
531642, 1, 15 23 35 46 56
532146, 0, 15 23 45
532164, 1, 15 23 45 56
532416, 0, 15 23
532461, 0, 15 23 56
532614, 1, 15 23 46
532641, 1, 15 23 46 56
534126, 0, 15 23 34 45
534162, 1, 15 23 34 45 56
534216, 0, 15 23 34
534261, 1, 15 23 34 56
534612, 1, 15 23 34 46
534621, 1, 15 23 34 46 56
536124, 1, 15 23 36 45 56
536142, 1, 15 23 36 45
536214, 1, 15 23 36 46
536241, 1, 15 23 36 46 56
536412, 0, 15 23 36
536421, 0, 15 23 36 56
541236, 0, 15 24 35
541263, 1, 15 24 35 56
541326, 0, 15 24 35 45
541362, 1, 15 24 35 45 56
541623, 1, 15 24 35 46 56
541632, 1, 15 24 35 46
542136, 0, 15 24 34 45
542163, 1, 15 24 34 45 56
542316, 0, 15 24 34
542361, 1, 15 24 34 56
542613, 1, 15 24 34 46
542631, 1, 15 24 34 46 56
543126, 0, 15 24 45
543162, 0, 15 24 45 56
543216, 0, 15 24
543261, 0, 15 24 56
543612, 0, 15 24 46
543621, 0, 15 24 46 56
546123, 1, 15 24 36 45
546132, 1, 15 24 36 45 56
546213, 1, 15 24 36
546231, 1, 15 24 36 56
546312, 1, 15 24 36 46
546321, 1, 15 24 36 46 56
561234, 1, 15 26 35 46
561243, 1, 15 26 35 46 56
561324, 1, 15 26 35 45 56
561342, 1, 15 26 35 45
561423, 0, 15 26 35 56
561432, 0, 15 26 35
562134, 1, 15 26 36 45 56
562143, 1, 15 26 36 45
562314, 1, 15 26 36 46
562341, 1, 15 26 36 46 56
562413, 0, 15 26 36
562431, 0, 15 26 36 56
563124, 0, 15 26 45 56
563142, 0, 15 26 45
563214, 0, 15 26 46
563241, 0, 15 26 46 56
563412, 0, 15 26
563421, 0, 15 26 56
564123, 1, 15 26 34 45 56
564132, 1, 15 26 34 45
564213, 1, 15 26 34 46
564231, 1, 15 26 34 46 56
564312, 1, 15 26 34
564321, 1, 15 26 34 56
612345, 1, 16 26 36 46 56
